,cog,year,Trimestre 1,Trimestre 2,Trimestre 3,Trimestre 4,De 10 à 14 ans,De 15 à 19 ans,De 20 à 24 ans,De 20 à 39 ans,De 25 à 29 ans,De 30 à 34 ans,De 35 à 39 ans,De 40 à 44 ans,De 40 à 59 ans,De 45 à 49 ans,De 50 à 54 ans,De 55 à 59 ans,De 5 à 9 ans,De 60 à 64 ans,De 60 à 74 ans,De 65 à 69 ans,De 70 à 74 ans,De 75 à 79 ans,De 80 à 84 ans,De 85 à 89 ans,De 90 à 94 ans,75 ans ou plus,95 ans ou plus,Moins de 20 ans,Moins de 5 ans,Total,Président du conseil régional,Positionnement parti,Parti politique,Chomage moyenne anneé,Age moyen,De 20 à 64 ans,65 ans et plus
0,00,1982,6.7,6.8,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,6.875,6.875,0.0,0.0
1,00,1983,7.0,7.0,7.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,7.175,7.175,0.0,0.0
2,00,1984,7.9,8.3,8.5,8.7,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.350000000000001,8.350000000000001,0.0,0.0
3,00,1985,8.8,8.8,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.8,8.8,0.0,0.0
4,00,1986,8.7,8.8,8.8,8.9,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.8,8.8,0.0,0.0
5,00,1987,9.0,9.0,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.9,8.9,0.0,0.0
6,00,1988,8.7,8.6,8.5,8.3,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.524999999999999,8.524999999999999,0.0,0.0
7,00,1989,8.1,7.9,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,7.9,7.9,0.0,0.0
8,00,1990,7.7,7.7,7.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,7.65,7.65,0.0,0.0
9,00,1991,7.6,7.7,8.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,7.875,7.875,0.0,0.0
10,00,1992,8.4,8.6,8.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.7,8.7,0.0,0.0
11,00,1993,9.2,9.5,9.8,10.1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,9.65,9.65,0.0,0.0
12,00,1994,10.3,10.4,10.3,10.1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,10.275,10.275,0.0,0.0
13,00,1995,9.8,9.6,9.5,9.6,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,9.625,9.625,0.0,0.0
14,00,1996,9.9,10.1,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,10.1,10.1,0.0,0.0
