code,cpv_label,level
03,"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes",2
09,"Produits pétroliers, combustibles, électricité et autres sources d'énergie",2
14,"Produits d'exploitation des mines, métaux de base et produits connexes",2
15,"Produits alimentaires, boissons, tabac et produits connexes",2
16,Machines agricoles,2
18,"Vêtements, articles chaussants, bagages et accessoires",2
19,"Produits en cuir et textiles, matériaux en plastique et en caoutchouc",2
22,Imprimés et produits connexes,2
24,Produits chimiques,2
30,"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels",2
31,"Machines, appareils, équipements et consommables électriques; éclairage",2
32,"Équipements et appareils de radio, de télévision, de communication, de télécommunication et équipements connexes",2
33,"Matériels médicaux, pharmaceutiques et produits de soins personnnels",2
34,Équipement de transport et produits auxiliaires pour le transport,2
35,"Équipement de sécurité, de lutte contre l'incendie, de police et de défense",2
37,"Instruments de musique, articles de sport, jeux, jouets, articles pour artisanat, articles pour travaux artistiques et accessoires",2
38,"Équipements de laboratoire, d'optique et de précision (excepté les lunettes)",2
39,"Meubles (y compris les meubles de bureau), aménagements, appareils électroménagers (à l'exclusion de l'éclairage) et produits de nettoyage",2
41,Eau collectée et purifiée,2
42,Machines industrielles,2
43,"Équipement minier, équipement pour l'exploitation de carrières, matériel de construction",2
44,Matériaux et structures de construction; produits auxiliaires pour la construction (à l'exception des appareils électriques),2
45,Travaux de construction,2
48,Logiciels et systèmes d'information,2
50,Services de réparation et d'entretien,2
51,Services d'installation (à l'exception des logiciels),2
55,"Services d'hôtellerie, de restauration et de commerce au détail",2
60,Services de transport (à l'exclusion du transport des déchets),2
63,"Services d'appui et services auxiliaires dans le domaine des transports, services des agences de voyages",2
64,Services des postes et télécommunications,2
65,Services publics,2
66,Services financiers et d'assurance,2
70,Services immobiliers,2
71,"Services d'architecture, services de construction, services d'ingénierie et services d'inspection",2
72,"Services de technologies de l'information, conseil, développement de logiciels, internet et appui",2
73,Services de recherche et développement et services de conseil connexes,2
75,"Services de l'administration publique, de la défense et de la sécurité sociale",2
76,Services relatifs à l'industrie du pétrole et du gaz,2
77,"Services agricoles, sylvicoles, horticoles, d'aquaculture et d'apiculture",2
79,"Services aux entreprises: droit, marketing, conseil, recrutement, impression et sécurité",2
80,Services d'enseignement et de formation,2
85,Services de santé et services sociaux,2
90,"Services d'évacuation des eaux usées et d'élimination des déchets, services d'hygiénisation et services relatifs à l'environnement",2
92,"Services récréatifs, culturels et sportifs",2
98,"Autres services communautaires, sociaux et personnels",2
031,Produits agricoles et produits de l'horticulture,3
032,"Céréales, pommes de terre, légumes, fruits et noix",3
033,"Produits agricoles, de la chasse et de la pêche",3
034,Produits de la sylviculture et de l'exploitation forestière,3
091,Combustibles,3
092,"Produits pétroliers, charbon et huiles",3
093,"Électricité, chauffage, énergie solaire et nucléaire",3
142,Sable et argile,3
143,Produits inorganiques chimiques et engrais minéraux,3
144,Sel et chlorure de sodium pur,3
145,Produits connexes d'exploitation de mines et de carrières,3
146,Minerais de métaux et alliages,3
147,Métaux de base,3
148,Produits minéraux non métalliques divers,3
149,Matières premières de récupération,3
151,"Produits de l'élevage, viande et produits à base de viande",3
152,Poisson préparé et conserves de poisson,3
153,"Fruits, légumes et produits connexes",3
154,Huiles et graisses animales ou végétales,3
155,Produits laitiers,3
156,"Produits de la minoterie, amidon et produits amylacés",3
157,Aliments pour animaux,3
158,Produits alimentaires divers,3
159,"Boissons, tabac et produits connexes",3
161,Machines agricoles et sylvicoles pour la préparation ou la culture des sols,3
163,Moissonneuses,3
164,Machines de pulvérisation à usage agricole ou horticole,3
165,Remorques et semi-remorques autochargeuses ou déchargeuses à usage agricole,3
166,Machines spécialisées à usage agricole ou sylvicole,3
167,Tracteurs,3
168,Pièces pour machines agricoles et sylvicoles,3
181,"Vêtements professionnels, vêtements de travail spéciaux et accessoires",3
182,Vêtements d'extérieur,3
183,Articles d'habillement,3
184,Vêtements spéciaux et accessoires,3
185,"Bijouterie, montres et articles connexes",3
186,Fourrure et articles en fourrure,3
188,Articles chaussants,3
189,"Bagages, sellerie, sacs et sachets",3
191,Cuir,3
192,Textiles et articles connexes,3
194,Fil textile,3
195,Produits en caoutchouc et en plastique,3
196,"Déchets de cuir, déchets textiles, déchets de caoutchouc et déchets de plastique",3
197,Caoutchouc et fibres synthétiques,3
221,"Livres, brochures et dépliants imprimés",3
222,"Journaux, revues spécialisées, périodiques et magazines",3
223,"Cartes postales, cartes de vœux et autres imprimés",3
224,"Timbres, formules de chèque, billets de banque, actions, publicité professionnelle, catalogues et manuels",3
225,"Plaques ou cylindres d'impression, autre matériel d'imprimerie",3
226,Encre,3
228,"Registres, livres comptables, classeurs, formulaires et autres articles de papeterie imprimés en papier ou en carton",3
229,Imprimés divers,3
241,Gaz,3
242,Colorants et pigments,3
243,Produits chimiques organiques et inorganiques de base,3
244,Engrais et composés azotés,3
245,Matières plastiques sous forme primaire,3
246,Explosifs,3
249,Produits de chimie fine et produits de chimie variés,3
301,"Machines, matériel et fournitures de bureau, excepté ordinateurs, imprimantes et meubles",3
302,Matériel et fournitures informatiques,3
311,"Moteurs, générateurs et transformateurs électriques",3
312,Appareils de distribution et de commande électriques,3
313,Fils et câbles isolés,3
314,"Accumulateurs, piles et batteries primaires",3
315,Appareils d'éclairage et lampes électriques,3
316,Matériel électrique,3
317,"Fournitures électroniques, électromécaniques et électrotechniques",3
322,"Appareils émetteurs de radiotéléphonie, de radiotélégraphie, de radiodiffusion et de télévision",3
323,Récepteurs de télévision et de radio et appareils d'enregistrement ou de reproduction du son ou de l'image,3
324,Réseaux,3
325,Matériel de télécommunications,3
331,Équipements médicaux,3
336,Produits pharmaceutiques,3
337,Produits de soins personnels,3
339,Équipement et fournitures pour autopsie et à usage mortuaire,3
341,Véhicules à moteur,3
342,"Carrosseries, remorques ou semi-remorques de véhicules",3
343,Pièces détachées et accessoires pour véhicules et moteurs de véhicules,3
344,"Motos, bicyclettes et side-cars",3
345,Navires et bateaux,3
346,Locomotives et matériel roulant de chemin de fer et de tramway et pièces détachées,3
347,Aéronefs et spationefs,3
349,Équipement de transport et pièces détachées divers,3
351,Matériel de secours et de sécurité,3
352,Équipement de police,3
353,"Armes, munitions et pièces associées",3
354,Véhicules militaires et pièces connexes,3
355,Navires de guerre et pièces connexes,3
356,"Avions, missiles et spationefs militaires",3
357,Systèmes électroniques militaires,3
358,Équipement individuel et de soutien,3
373,Instruments de musique et pièces pour instruments de musique,3
374,Articles et équipements de sport,3
375,Jeux et jouets; attractions foraines,3
378,Fournitures pour travaux d'artisanat et travaux artistiques,3
381,Instruments de navigation et de météorologie,3
382,Instruments géologiques et géophysiques,3
383,Instruments de mesure,3
384,Instruments de contrôle de propriétés physiques,3
385,Appareils de contrôle et d'essai,3
386,Instruments d'optique,3
387,Horloges de pointage et compteurs similaires; parcmètres,3
388,Équipement de commande des processus industriels et matériel de télécommande,3
389,Instruments divers d'évaluation ou de test,3
391,Mobilier,3
392,Aménagements,3
393,Équipement divers,3
395,Articles textiles,3
397,Appareils ménagers,3
398,Produits de nettoyage et produits à polir,3
411,Eau brute,3
421,Machines de production et d'utilisation de la puissance mécanique,3
422,"Machines utilisées pour le traitement des aliments, des boissons et du tabac et pièces accessoires",3
423,"Fourneaux, incinérateurs et fours industriels ou de laboratoire",3
424,Matériel de levage et de manutention et pièces détachées,3
425,Matériel de réfrigération et de ventilation,3
426,Machines-outils,3
427,"Machines pour l'industrie du textile, de l'habillement et du cuir",3
428,Machines de fabrication du papier ou du carton,3
429,Machines diverses à usage général et à usage spécial,3
431,Équipement minier,3
432,Machines de terrassement et d'excavation et pièces détachées,3
433,Machines et équipement pour la construction,3
434,Machines de traitement des minéraux et de formage des moules de fonderie,3
435,Véhicules à chenilles,3
436,Pièces pour machines pour les industries excavatrices et la construction,3
437,Machines de métallurgie et pièces associées,3
438,Équipement d'atelier,3
441,Matériaux de construction et articles connexes,3
442,Produits structurels,3
443,"Câble, fil métallique et produits connexes",3
444,Produits fabriqués divers et éléments connexes,3
445,"Outils, serrures, clés, charnières, fermoirs, chaînes et ressorts",3
446,"Citernes, réservoirs, conteneurs; radiateurs et chaudières de chauffage central",3
